followers,following,posts,has_profile_pic,username_length
49,2,0,0,0.14
49,12,2,0,0.2
37,4,0,0,0.1
21,0,0,0,0.5
356,2176,21,1,0.58
46,4,0,0,0.44
49,0,0,0,0.22
49,58,0,0,0.0
44,45,0,0,0.0
42,240,0,0,0.13
47,9,0,0,0.38
48,1,0,0,0.1
75,26,0,1,0.91
115,289,0,0,0.08
53,66,5,0,0.88
32,23,0,0,0.67
39,153,0,0,0.44
3033,1155,0,0,0.18
3003,825,0,0,0.25
34,36,1,0,0.88
218,1528,37,0,0.36
210,1543,8,1,0.33
1489,3715,4,1,0.2
10,2,0,0,0.5
201,812,28,0,0.33
351,2663,0,0,0.0
52,16,0,0,0.43
156,423,6,0,0.25
85,477,12,0,0.43
35,38,0,0,0.24
55,28,0,0,0.44
16,51,0,0,0.27
43,88,0,0,0.38
97,408,2,0,0.4
34,112,2,0,0.57
2346,7272,0,0,0.0
49,95,0,0,0.25
2,55,2,1,0.19
40,19,2,0,0.46
332,1333,0,0,0.46
14,542,0,0,0.73
65,162,12,1,0.6
20,52,1,1,0.46
26,27,0,0,0.31
72,434,0,1,0.43
55,2,1,1,0.0
77,108,12,1,0.5
31,215,59,1,0.0
57,130,0,0,0.86
58,347,0,0,0.62
47,139,23,1,0.33
31,37,3,1,0.16
96,242,11,1,0.92
126,860,8,1,0.27
39,229,102,1,0.25
66,161,6,1,0.43
87,698,25,1,0.31
15,64,0,1,0.2
166,596,33,1,0.55
66,75,44,1,0.38
96,339,4,1,0.57
57,73,0,1,0.57
150,487,2,1,0.27
698,309,53,1,0.0
737,1006,707,1,0.0928152673287676
284048,20,626,1,0.0
11348,145,69,1,0.1485407802910721
32440,942,399,1,0.0
950,576,282,1,0.0
8719145,99,291,1,0.0
587,447,62,1,0.1224601527460778
301,560,67,1,0.0
220,277,17,1,0.1087417806605262
896,502,942,1,0.0777321604001659
962,598,80,1,0.0
162,177,8,1,0.0
501,1009,110,0,0.0
549,622,23,1,0.0
340,308,37,1,0.0
1494,994,142,1,0.0
9985,1088,150,1,0.0229475701242844
63,115,25,1,0.0
376,465,48,1,0.0196110563023421
170,250,25,1,0.0
193,404,35,1,0.0
1000,76,163,1,0.0
86,251,38,1,0.0825273856741444
439,957,210,1,0.0
1000,1824,59,1,0.0
418,403,315,1,0.0289631365347223
144,119,7,1,0.0256883847645714
1773,576,148,1,0.0
882,72,37,1,0.0753236308713156
724,270,58,1,0.0
2496,992,186,1,0.0
5516,452,143,1,0.0886496782829478
272,250,120,1,0.0
419,224,11,1,0.0
309,537,33,1,0.0775892719591879
775,676,94,1,0.239090560961544
982,75,189,1,0.0012656873412465
559,1014,917,1,0.0
890,72,65,1,0.0654965645695386
166,187,14,1,0.0793561179573255
569,432,35,1,0.2267445426551084
161,392,9,1,0.0
252,326,10,1,0.1545245454898765
609,714,270,1,0.0
156,107,10,1,0.0645289837525717
1141,1122,120,1,0.0
631,995,839,1,0.0
695,625,76,1,0.0
172,232,18,1,0.0
92,125,8,1,0.0535981903246094
766,199,84,1,0.0
174,83,28,1,0.0750441066024573
334,561,71,1,0.0
486,1205,62,0,0.0
106,104,8,1,0.0
127,199,25,1,0.145770512699963
1391,494,88,1,0.0366469207511919
1289,264,63,1,0.0
35869,2521,320,1,0.0
275,244,127,1,0.0
1001,76,161,1,0.0
57,54,26,1,0.0
485,1169,78,1,0.0
116,161,17,1,0.0
380425,2,749,1,0.0
1087,392,179,1,0.0
182,75,21,1,0.0466501315369459
266,1437,72,1,0.0
199,37,108,1,0.0728986084713785
152,124,6,1,0.002683398483163
194,172,13,1,0.1606175799399454
789,449,37,1,0.0
406,786,142,1,0.0
162,236,33,1,0.0
567,504,172,1,0.0
200,165,46,1,0.3615948353164782
890695,11,7380,1,0.0
385,515,110,1,0.0
5439,592,208,1,0.0
275,544,68,1,0.0
251992,33,599,1,0.0
1056,1939,55,1,0.0
504,504,44,1,0.2825077423021245
105,132,19,1,0.0028036898296154
325219,62,506,1,0.0315383729991308
2909,535,140,1,0.0691739824309657
18467,650,357,1,0.0
1697,3105,628,1,0.0
68,65,13,1,0.0
304,403,9,1,0.0
115168,142,435,1,0.0
776,1136,11,1,0.0
677,636,71,1,0.0
55,35,1,1,0.055752227500253
2497,1010,479,1,0.0
8807,402,386,1,0.0
420,903,230,1,0.0
147,97,12,1,0.0772642699903901
945,582,222,1,0.0
3645,212,54,1,0.0
104,123,8,1,0.0
198,342,24,1,0.0
585,678,222,1,0.0
1813,618,52,1,0.0628970010361571
402,263,8,1,0.1296533630751337
1244,2178,338,1,0.2261728845845359
412,283,103,1,0.0
1395,627,199,1,0.0274999159298586
379,343,64,1,0.0
47,47,17,1,0.0
133,179,4,1,0.0
99,128,15,1,0.0
1893,2706,279,1,0.0
416,319,68,1,0.0
560,612,14,1,0.0
791191,232,2983,1,0.0
598,1081,47,1,0.0
352,328,44,1,0.0
502,444,23,1,0.1731412961588956
18655,942,959,1,0.0
717,418,345,1,0.0
411,388,14,1,0.1254988003259416
218,386,187,1,0.0609724819938226
2343,776,515,1,0.0
26149,6208,840,1,0.0
633,466,213,1,0.0
794,1157,6,1,0.0
518,660,97,1,0.0
68,67,12,1,0.0121084667142741
391,1211,88,1,0.0
385,201,197,1,0.0937162007751866
712,420,325,1,0.0
1537,1146,197,1,0.1819112833300126
793,674,101,1,0.2840646518762151
494,1089,115,0,0.0
316,348,8,1,0.0
452,289,137,1,0.0
328593,30,651,1,0.0
808,498,35,1,0.0192279155842875
2838,576,191,1,0.0300323802748464
683,1144,707,1,0.3952071399936263
965,446,350,1,0.1147885149294241
36,65,14,1,0.0
137,213,25,1,0.1534897283269239
203,35,105,1,0.0792003460564069
2453,949,551,1,0.0
698,608,23,1,0.0
34,30,3,1,0.0
134,176,4,1,0.0
740,237,60,1,0.0099115845921566
737,673,62,1,0.0916583658372561
431,458,288,1,0.0
515,462,69,1,0.0
3536,179,72,1,0.0
490,1003,174,0,0.0
573,442,57,1,0.1397443917882035
9220,585,153,1,0.0920308738261279
1005,3681,330,1,0.0435558909321117
28856,6180,816,1,0.0
1103,1869,338,1,0.0
2440009,186,3735,1,0.0
646,706,291,1,0.0
114,98,11,1,0.0380502248592412
416,312,67,1,0.0
1368,186,53,1,0.0
528,1017,290,1,0.0
381,461,54,1,0.0246278387312369
272,371,3,1,0.0
721,678,66,1,0.0875778450321042
112,467,9,1,0.254892419766113
243,338,9,0,0.0
88,43,0,1,0.0420143158284095
407,400,8,1,0.051353452358115
191,217,10,1,0.0
951,1125,150,1,0.0
1760,847,121,1,0.0
1227,2141,300,1,0.1982993770410493
1370,5160,636,1,0.0
463,426,20,1,0.0440753932776736
52,45,21,1,0.0
624,525,242,1,0.0
747,208,89,1,0.0
147,412,10,1,0.1072365034346805
152,99,171,1,0.0968645639332838
22939,3808,647,1,0.0
858,2761,217,1,0.1155923631683669
1043,662,100,1,0.0
138,74,153,1,0.0919381859496553
468,287,170,1,0.0
4532,1473,244,1,0.0
137,211,19,1,0.1732392527441022
158105,37,390,1,0.0
256,323,7,0,0.1580675471720296
166,90,20,1,0.0874644468933991
453,282,163,1,0.0
74,154,86,1,0.1458549273285581
1062,431,165,1,0.0
353,170,7,1,0.0
398,496,145,1,0.0
1008,980,73,1,0.1000893223771012
47,75,24,1,0.1442058700004467
89196,33,146,1,0.0
134,229,62,1,0.0
126,445,10,1,0.1948633440284563
505,999,164,1,0.0
408,394,10,1,0.0904526172847511
236,330,23,1,0.164780165542944
67,63,16,1,0.0
602,485,203,1,0.0
61,116,27,1,0.0178079667762429
1458,570,117,1,0.0
168,383,10,1,0.0
663589,443,3332,1,0.0
102,21,0,1,0.1540303263173905
9183670,1683,362,1,0.1105346360132524
175,246,17,1,0.0
1581,1117,174,1,0.1177181164585423
1799,466,264,1,0.0
73,250,23,1,0.1040225994986283
44693,443,40,1,0.0
104,111,4,1,0.0
5398,592,209,1,0.0
300,365,9,1,0.0
2318,160,234,1,0.0
196,390,22,1,0.0
55,52,26,1,0.0
973,610,81,1,0.0
730,658,59,1,0.0
301,365,31,1,0.0
844,750,142,1,0.0
371,472,38,1,0.0579523364772473
720,690,203,1,0.1485410626985207
687,1047,34,1,0.0
101,134,28,1,0.019909635096808
149,245,50,1,0.0
107,99,10,1,0.0
190,180,13,1,0.0
216,305,8,1,0.3577723014900249
603,1105,821,1,0.2505271106503718
4373,429,103,1,0.0
371,358,53,1,0.0
762,1205,7,1,0.0
17827,490,285,1,0.0
501,1010,110,0,0.0
46,82,23,1,0.181053675339528
2553,1071,75,1,0.0
707,1362,1108,1,0.0
51,100,27,1,0.0697671416668985
998,1104,169,1,0.0
730,413,390,1,0.0
2726,521,284,1,0.0
540,697,111,1,0.0
73,155,85,1,0.1410916818181813
103,132,15,1,0.0496777904359646
47705,535,105,1,0.0
1007,977,68,1,0.1216036681958904
1176,311,193,1,0.0152518989235644
1156,611,92,1,0.1583188184718945
1661,547,268,1,0.0
1911,1428,645,1,0.0
8642,251,275,1,0.0771986379860267
522,1045,142,0,0.0
1371800,193,334,1,0.0
2707,594,234,1,0.0
137,95,77,1,0.0036013725601811
193,198,7,1,0.0
255,535,82,1,0.0
351259,492,330,1,0.0306496181622263
221,330,22,1,0.0521426599839833
164,252,36,1,0.0
712,1173,676,1,0.431921933134168
10515,671,366,1,0.0860859530236662
153,257,34,1,0.0
965,1119,156,1,0.0
461,416,14,1,0.0300560569038785
3532,607,152,1,0.0
1761,484,272,1,0.0
304,368,12,1,0.0
405,282,97,1,0.0
63,71,16,1,0.0
2498,792,238,1,0.0
652,1442,986,1,0.0
6485438,106,642,1,0.0
1163,3820,819,1,0.0
17920,514,296,1,0.0
97,398,119,1,0.0
143,179,8,1,0.0
883,117,141,1,0.0
203,170,97,1,0.0
248,390,257,1,0.0883631619853469
780,674,92,1,0.2396488685203448
1440,623,211,1,0.0
284,548,62,1,0.0
597,1126,1126,1,0.0
541,699,109,1,0.0
205,333,28,1,0.0
172,248,21,1,0.0
719,440,459,1,0.0
499,441,12,1,0.2110244783994811
528,1070,927,1,0.1162942291313181
890,1661,77,1,0.0
91,138,46,1,0.0655072625286314
568,490,62,1,0.0
1200,634,3,1,0.1467595918200893
2323,196,207,1,0.0
799,216,29,1,0.0353749419591144
1128,85,41,1,0.0
371087,2,740,1,0.0
1395,1103,214,1,0.2039820502437049
174,182,14,1,0.0493625328173194
1213,945,167,1,0.0
407,398,9,1,0.0644621291306292
576872,531,940,1,0.0
378496,62,715,1,0.0
1444,605,181,1,0.0
123,102,10,1,0.0908129112289955
1760,895,132,1,0.0
1550,3330,706,1,0.0
944,103,172,1,0.0
1864,1485,481,1,0.0
105,118,15,1,0.0
287,550,59,1,0.0
663,633,135,1,0.0
193,78,23,1,0.0428358353736131
194,396,49,1,0.0
18331,902,874,1,0.0
418,626,646,1,0.0
94,127,7,1,0.080804189660257
276,248,120,1,0.0221150805279472
1039,929,56,1,0.0736059334068796
1283,929,204,1,0.0
465,642,42,1,0.0
966,603,80,1,0.0
29,32,3,1,0.0
2567,798,115,1,0.0
8674,294,334,1,0.0416853145873301
77,245,21,1,0.096725535927867
359,485,19,1,0.1319724728912908
628,432,98,1,0.144663268811165
113,98,11,1,0.0310928930007554
266,325,8,1,0.2334947534255738
171,391,12,1,0.0
193,196,7,1,0.0
423,272,13,1,0.0
212,213,8,1,0.0
394,318,96,1,0.0
114,147,65,1,0.0
1764,615,105,1,0.0
5282,652,222,1,0.0
403,382,21,1,0.116575265708586
425,918,238,1,0.0
547,488,84,1,0.0
265,289,108,1,0.0
80,158,81,1,0.1221081881139255
679,479,597,1,0.0
191,174,7,1,0.0695330365414481
179,170,22,1,0.2330596161952143
266,316,114,1,0.0
496,1060,1046,1,0.0
925,1167,93,1,0.0
310,534,30,1,0.0900711251876498
168,242,25,1,0.0
792,1219,11,1,0.0
745,1563,902,1,0.0
4960,573,180,1,0.0
220,323,15,0,0.0003759767049821
1162,2770,48,1,0.0
739,329,22,1,0.0
721,1263,1189,1,0.0
1469,659,254,1,0.0
96,111,10,1,0.0
8109,512,321,1,0.0
1032,531,116,1,0.0188606294084643
5639,368,115,1,0.1122241367497415
687160,208,352,1,0.0
421,396,18,1,0.0537517585247827
3368,254,117,1,0.0
364598,0,724,1,0.0
3785,316,42,1,0.0
1032,76,110,1,0.0
22105,3484,962,1,0.0
653,519,699,1,0.0
51127,536,651,1,0.0
274,205,130,1,0.0
850,725,168,1,0.1199580851537791
1249,6873,150,1,0.0
1702,773,42,1,0.2503496333980992
2587,871,59,1,0.0
3686,1400,425,1,0.003966778101848
321,334,6,1,0.0
226,327,14,0,0.0
144,408,6,1,0.0
600,472,166,1,0.0
140,233,58,1,0.0
10145,1233,280,1,0.0
315,330,1,1,0.0471715198287374
87,111,10,1,0.0
939,576,75,1,0.0
134,176,15,1,0.0
67,74,13,1,0.0443481804453877
164,174,16,1,0.1172090347813825
102,122,4,1,0.0419220914688641
106,103,11,1,0.024287210397234
32062,3807,574,1,0.0
180,390,31,1,0.0
74,63,9,1,0.0
923,636,267,1,0.0
5275,661,221,1,0.0
527,651,107,1,0.0
196,190,12,1,0.0
433,640,680,1,0.0
67,64,15,1,0.0
799,696,122,1,0.0
917,1138,134,1,0.0054953869408514
730,324,30,1,0.0
212,344,27,0,0.0
12939,3209,71,1,0.0579865795639337
762,3558,433,1,0.0
224,257,16,1,0.0
35455,1765,351,1,0.0
400,419,15,1,0.0
12847,774,204,1,0.0101044986149178
44955,925,20,1,0.0
103,379,99,1,0.0
305,367,12,1,0.0
642,710,302,1,0.0
7935,560,297,1,0.0
421,349,50,1,0.0
809,431,704,1,0.0
786,441,36,1,0.0
581,701,173,1,0.0
753,943,284,1,0.0
100,483,8,1,0.2802131323807161
5334,607,204,1,0.0199341577581528
107,101,10,1,0.0
879,375,395,1,0.2184535751610037
765,944,280,1,0.0
302,406,9,1,0.0
207,331,26,0,0.0
711,1334,1131,1,0.0
1123527,37,6840,1,0.0
5588,390,118,1,0.1161467044766603
195,208,10,1,0.003886761665328
257,207,143,1,0.0
230,382,246,1,0.0859864582464334
318,336,8,1,0.0
95,258,19,1,0.0
1010,1739,329,1,0.0
3716,225,75,1,0.0
32,38,2,1,0.0
1243,364,130,1,0.0565913615499001
681,604,57,1,0.0
101,128,19,1,0.0
429,777,145,1,0.0
496,1087,116,0,0.0
481,558,105,1,0.0
715,1150,666,1,0.4290747361019705
1463,597,158,1,0.0
24247,599,404,1,0.0
706,1326,889,1,0.0
390,484,101,1,0.0
9860,1006,150,1,0.0342213410727568
398,140,14,1,0.0
414,374,14,1,0.106850196696406
289,230,141,1,0.0481592282691438
686,304,22,1,0.0
18556,967,914,1,0.0
202,337,26,1,0.0
39062,1249,230,1,0.0
889,72,64,1,0.0662294700257738
6137389,161,326,1,0.0
1813,1547,302,1,0.0
10996,1660,55,1,0.0890066036331167
3954664,346,301,1,0.0
86241,90,229,1,0.0
2701,757,164,1,0.0
742,1398,83,1,0.0
10119,1227,317,1,0.0
782,1175,6,1,0.0
257,536,81,1,0.0
537,635,121,1,0.0
567,556,18,1,0.0530744788280708
151,126,6,1,0.0
3156,376,138,1,0.0648007235696801
172,177,6,1,0.0
